company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,2014-03,+,+,+,Cash Accumulator
ABB,2015-03,-,-,+,Growth Funded by Debt
ABB,2016-03,+,-,-,Shareholder Returns
ABB,2017-03,+,-,-,Shareholder Returns
ABB,2018-03,+,-,+,Mixed
ABB,2019-03,+,-,+,Mixed
ABB,2020-03,+,-,+,Mixed
ABB,2021-03,+,-,-,Shareholder Returns
ABB,2022-03,+,-,-,Shareholder Returns
ABB,2023-03,+,-,+,Mixed
ABB,2024-03,+,-,-,Shareholder Returns
ADANIENSOL,2014-03,+,+,+,Cash Accumulator
ADANIENSOL,2015-03,-,-,+,Growth Funded by Debt
ADANIENSOL,2016-03,+,-,-,Shareholder Returns
ADANIENSOL,2017-03,+,-,-,Shareholder Returns
ADANIENSOL,2018-03,+,-,+,Mixed
ADANIENSOL,2019-03,+,-,+,Mixed
ADANIENSOL,2020-03,+,-,+,Mixed
ADANIENSOL,2021-03,+,-,-,Shareholder Returns
ADANIENSOL,2022-03,+,-,-,Shareholder Returns
ADANIENSOL,2023-03,+,-,+,Mixed
ADANIENSOL,2024-03,+,-,-,Shareholder Returns
ADANIENT,2013-03,+,-,+,Mixed
ADANIENT,2014-03,+,-,-,Shareholder Returns
ADANIENT,2015-03,+,-,+,Mixed
ADANIENT,2016-03,+,-,-,Shareholder Returns
ADANIENT,2017-03,+,-,+,Mixed
ADANIENT,2018-03,+,-,+,Mixed
ADANIENT,2019-03,+,+,-,Liquidating Assets
ADANIENT,2020-03,+,-,-,Shareholder Returns
ADANIENT,2021-03,+,-,+,Mixed
ADANIENT,2022-03,+,-,+,Mixed
ADANIENT,2023-03,+,-,-,Shareholder Returns
ADANIENT,2024-03,+,-,+,Mixed
ADANIGREEN,2017-03,+,-,+,Mixed
ADANIGREEN,2018-03,+,-,+,Mixed
ADANIGREEN,2019-03,+,-,+,Mixed
ADANIGREEN,2020-03,+,-,+,Mixed
ADANIGREEN,2021-03,+,-,+,Mixed
ADANIGREEN,2022-03,+,-,+,Mixed
ADANIGREEN,2023-03,+,-,-,Shareholder Returns
ADANIGREEN,2024-03,+,-,+,Mixed
ADANIPORTS,2013-03,+,-,+,Mixed
ADANIPORTS,2014-03,+,-,+,Mixed
ADANIPORTS,2015-03,+,-,-,Shareholder Returns
ADANIPORTS,2016-03,+,-,+,Mixed
ADANIPORTS,2017-03,+,-,-,Shareholder Returns
ADANIPORTS,2018-03,+,-,-,Shareholder Returns
