ADANIENSOL | 2014-03 | ROCE_ANOMALY | computed=0.00% source=9.00% diff=9.00pp | category=version difference
ADANIENSOL | 2014-03 | ROE_ANOMALY | computed=0.00% source=8.59% diff=8.59pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENSOL | 2015-03 | ROCE_ANOMALY | computed=0.96% source=9.00% diff=8.04pp | category=version difference
ADANIENSOL | 2015-03 | ROE_ANOMALY | computed=-0.65% source=8.59% diff=9.24pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENSOL | 2016-03 | ROCE_ANOMALY | computed=17.74% source=9.00% diff=8.74pp | category=version difference
ADANIENSOL | 2016-03 | ROE_ANOMALY | computed=13.77% source=8.59% diff=5.18pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENSOL | 2017-03 | ROCE_ANOMALY | computed=16.82% source=9.00% diff=7.82pp | category=version difference
ADANIENSOL | 2017-03 | ROE_ANOMALY | computed=14.12% source=8.59% diff=5.53pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENSOL | 2018-03 | ROCE_ANOMALY | computed=17.82% source=9.00% diff=8.82pp | category=version difference
ADANIENSOL | 2018-03 | ROE_ANOMALY | computed=18.87% source=8.59% diff=10.28pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENSOL | 2021-03 | ROCE_ANOMALY | computed=14.06% source=9.00% diff=5.06pp | category=version difference
ADANIENSOL | 2021-03 | ROE_ANOMALY | computed=14.46% source=8.59% diff=5.87pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENSOL | 2024-03 | OPM_MISMATCH | computed=34.39% reported=30.00% | category=formula discrepancy
ADANIENT | 2013-03 | ROE_ANOMALY | computed=5.69% source=13.64% diff=7.95pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENT | 2016-03 | ROE_ANOMALY | computed=7.47% source=13.64% diff=6.17pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENT | 2017-03 | ROE_ANOMALY | computed=6.54% source=13.64% diff=7.10pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENT | 2018-03 | ROE_ANOMALY | computed=3.94% source=13.64% diff=9.70pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENT | 2019-03 | ROE_ANOMALY | computed=3.43% source=13.64% diff=10.21pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENT | 2020-03 | ROE_ANOMALY | computed=6.14% source=13.64% diff=7.50pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIENT | 2021-03 | ROE_ANOMALY | computed=6.10% source=13.64% diff=7.54pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
